Date,Stock,Headline,Source,Posted,Description,Link
2024-04-01,NVDA,Nvidia (NVDA) International Revenue in Focus: Trends and Expectations,Zacks ·  via Yahoo Finance,5 months ago,Did you analyze how Nvidia (NVDA) fared in its international operations for the quarter ending April...,https://finance.yahoo.com/news/nvidia-nvda-international-revenue-focus-123900588.html?fr=sycsrp_catchall
2024-04-01,NVDA,"Nvidia Stock (NASDAQ:NVDA): Cheaper after the Stock Split, Yet Priceless",TipRanks ·  via Yahoo Finance,4 months ago,AI prodigy Nvidia (NASDAQ:NVDA) stock has risen colossally from $15 (split-adjusted) when I first...,https://finance.yahoo.com/news/nvidia-stock-nasdaq-nvda-cheaper-002007659.html?fr=sycsrp_catchall
2024-04-01,NVDA,Nvidia Stock Split: What Investors Need to Know,SmartAsset ·  via AOL,5 months ago,"Nvidia ($NVDA) stock will undergo its sixth stock split with shares trading at one-tenth the price starting June 10, 2024. Before the Q1 2024 earnings call on May 22, 2024 when the split was ...",https://www.aol.com/nvidia-stock-split-investors-know-141222824.html
2024-04-01,NVDA,Missed Out on Nvidia? Buy This Magnificent Artificial Intelligence (AI) Stock...,Motley Fool ·  via Yahoo Finance,10 months ago,"Nvidia (NASDAQ: NVDA) has been one of the hottest stocks on the market in 2023, with eye-popping...",https://finance.yahoo.com/news/missed-nvidia-buy-magnificent-artificial-115247796.html?fr=sycsrp_catchall
2024-04-01,NVDA,Weak Gaming Chip Demand to Hurt NVIDIA's (NVDA) Q1 Earnings,Zacks ·  via Yahoo Finance,1 year ago,NVIDIA's (NVDA) overall financial performance in the first quarter of fiscal 2024 is likely to have...,https://finance.yahoo.com/news/weak-gaming-chip-demand-hurt-112511218.html?fr=sycsrp_catchall
2024-04-01,NVDA,3 Brilliant Reasons to Buy Nvidia Stock Before Its Stock Split,Motley Fool ·  via Yahoo Finance,5 months ago,"Nvidia (NASDAQ: NVDA) last split its stock in 2021, a 4-for-1 split to reduce its $600 share price...",https://finance.yahoo.com/news/3-brilliant-reasons-buy-nvidia-111500077.html?fr=sycsrp_catchall
2024-04-01,NVDA,Why Is Nvidia (NVDA) Down 1.2% Since Last Earnings Report?,Zacks ·  via Yahoo Finance,10 months ago,It has been about a month since the last earnings report for Nvidia (NVDA). Shares have lost about...,https://finance.yahoo.com/news/why-nvidia-nvda-down-1-163022047.html?fr=sycsrp_catchall
2024-04-01,NVDA,Time to Buy Chip Stocks as Nvidia's Earnings Approach?,Zacks ·  via Yahoo Finance,1 year ago,Monday put an end to the broader slide among tech stocks as the Nasdaq rose +1.56% with the index...,https://finance.yahoo.com/news/time-buy-chip-stocks-nvidias-225200153.html?fr=sycsrp_catchall
2024-04-01,NVDA,What Is the Dividend Payout for Nvidia Stock?,Motley Fool ·  via Yahoo Finance,5 months ago,"In case Nvidia (NASDAQ: NVDA) wasn't already beloved among investors, now the semiconductor giant is enticing income seekers by increasing its quarterly...",https://finance.yahoo.com/news/dividend-payout-nvidia-stock-184525343.html?fr=sycsrp_catchall
2024-04-01,NVDA,"Investors Pile Into NVDL: ETF Fund Flows as of June 27, 2024",etf.com ·  via Yahoo Finance,4 months ago,"Top 10 Creations (All ETFs) Ticker Name Net Flows ($, mm) AUM ($, mm) AUM % Change SPY SPDR S&P 500...",https://finance.yahoo.com/news/investors-pile-nvdl-etf-fund-211856077.html?fr=sycsrp_catchall
2024-04-01,MSFT,Microsoft Corp: An Exploration into Its Intrinsic Value,GuruFocus.com ·  via Yahoo Finance,7 months ago,"In this article, we will take a look into Microsoft Corp's (NASDAQ:MSFT) DCF analysis, a reliable...",https://finance.yahoo.com/news/microsoft-corp-exploration-intrinsic-value-120016030.html?fr=sycsrp_catchall
2024-04-01,MSFT,"Insider Sale: EVP, Chief Marketing Officer Takeshi Numoto Sells 2,500 Shares of...",GuruFocus.com ·  via Yahoo Finance,1 month ago,"Takeshi Numoto, Executive Vice President and Chief Marketing Officer, sold 2,500 shares of Microsoft...",https://finance.yahoo.com/news/insider-sale-evp-chief-marketing-050534375.html?fr=sycsrp_catchall
2024-04-01,MSFT,"Markets Fight Back, Stay Red; MSFT, GOOGL, SNAP Beat on Late Earnings",Zacks ·  via Yahoo Finance,6 months ago,"Thursday, April 25th, 2024 Markets took another tumble today out of the gate. The major indices...",https://finance.yahoo.com/news/markets-fight-back-stay-red-221100766.html?fr=sycsrp_catchall
2024-04-01,MSFT,11 Best Gaming Stocks To Buy in 2024,GoBankingRates ·  via AOL,5 months ago,"Prostock-Studio / iStock.com Gaming was formerly a niche investing opportunity, but now it’s a booming industry that is driving some of the biggest and...",https://www.aol.com/11-best-gaming-stocks-buy-145507292.html
2024-04-01,MSFT,"Dow Jones Giants Apple, Microsoft Lead Five Stocks Near Buy Points",Investor's Business Daily,10 months ago,"Dow Jones stocks Apple and Microsoft head a group of stocks including MercadoLibre, Samsara and...",https://www.investors.com/news/dow-jones-giants-apple-microsoft-lead-five-stocks-near-buy-points/?src=A00220&yptr=yahoo
2024-04-01,MSFT,Should Goldman Sachs MarketBeta U.S. 1000 Equity ETF (GUSA) Be on Your Investing...,Zacks ·  via Yahoo Finance,10 months ago,"Launched on 04/05/2022, the Goldman Sachs MarketBeta U.S. 1000 Equity ETF (GUSA) is a passively...",https://finance.yahoo.com/news/goldman-sachs-marketbeta-u-1000-112007856.html?fr=sycsrp_catchall
2024-04-01,MSFT,Microsoft & Apple in Tug-Of-War: ETFs in Focus,Zacks ·  via Yahoo Finance,9 months ago,The competition between Apple (AAPL) and Microsoft (MSFT) for the title of the world's most valuable company has become severe once again. Apple's market...,https://finance.yahoo.com/news/microsoft-apple-tug-war-etfs-160500211.html?fr=sycsrp_catchall
2024-04-01,MSFT,Is iShares Paris-Aligned Climate MSCI USA ETF (PABU) a Strong ETF Right Now?,Zacks ·  via Yahoo Finance,10 months ago,"The iShares Paris-Aligned Climate MSCI USA ETF (PABU) was launched on 04/08/2022, and is a smart...",https://finance.yahoo.com/news/ishares-paris-aligned-climate-msci-112007943.html?fr=sycsrp_catchall
2024-04-01,MSFT,Is Vident U.S. Equity Strategy ETF (VUSE) a Strong ETF Right Now?,Zacks ·  via Yahoo Finance,7 months ago,"Making its debut on 01/22/2014, smart beta exchange traded fund Vident U.S. Equity Strategy ETF...",https://finance.yahoo.com/news/vident-u-equity-strategy-etf-102006270.html?fr=sycsrp_catchall
2024-04-01,GOOG,Tom Gayner's Strategic Moves in Q2 2024 Highlight Franco-Nevada Corp's...,GuruFocus.com ·  via Yahoo Finance,3 months ago,"Insight into the Investment Shifts of Markel Corp's Co-CEO Tom Gayner (Trades, Portfolio), the...",https://finance.yahoo.com/news/tom-gayners-strategic-moves-q2-230328877.html?fr=sycsrp_catchall
2024-04-01,GOOG,Should Motley Fool 100 Index ETF (TMFC) Be on Your Investing Radar?,Zacks ·  via Yahoo Finance,7 months ago,Looking for broad exposure to the Large Cap Growth segment of the US equity market? You should...,https://finance.yahoo.com/news/motley-fool-100-index-etf-102007061.html?fr=sycsrp_catchall
2024-04-01,GOOG,"Asure (NASDAQ:ASUR) Surprises With Q1 Sales, Provides Optimistic Full-Year...",StockStory ·  via Yahoo Finance,6 months ago,Online payroll and human resource software provider Asure (NASDAQ:ASUR) reported Q1 CY2024 results...,https://finance.yahoo.com/news/asure-nasdaq-asur-surprises-q1-200808993.html?fr=sycsrp_catchall
2024-04-01,GOOG,"Zumiez (NASDAQ:ZUMZ) Reports Strong Q2, Stock Soars",StockStory ·  via Yahoo Finance,2 months ago,"Clothing and footwear retailer Zumiez (NASDAQ:ZUMZ) reported Q2 CY2024 results exceeding Wall Street analysts’ expectations, with revenue up 8.1% year on...",https://finance.yahoo.com/news/zumiez-nasdaq-zumz-reports-strong-202512880.html?fr=sycsrp_catchall
2024-04-01,GOOG,15 Best Value Stocks to Buy According to Legendary Bill Miller,Insider Monkey ·  via Yahoo Finance,2 years ago,"In this article, we will discuss the 15 Best Value Stocks to Buy According to Legendary Bill Miller....",https://finance.yahoo.com/news/15-best-value-stocks-buy-123211697.html?fr=sycsrp_catchall
2024-04-01,GOOG,"Jim Cramer Says You Should ‘Buy, Buy, Buy’ These 11 Stocks",Insider Monkey ·  via Yahoo Finance,7 months ago,"In this article, we will take a detailed look at Jim Cramer Says You Should ‘Buy, Buy, Buy’ These 11...",https://finance.yahoo.com/news/jim-cramer-says-buy-buy-125942487.html?fr=sycsrp_catchall
2024-04-01,GOOG,25 Countries with Best Education System in the World,Insider Monkey ·  via Yahoo Finance,8 months ago,"In this article, we will take a look at the 25 countries with the best education system in the world. If you want to skip our detailed analysis, you can...",https://finance.yahoo.com/news/25-countries-best-education-system-231249322.html?fr=sycsrp_catchall
2024-04-01,GOOGL,MWC 2024 live: all the news and phone reveals that matter,T3 ·  via Yahoo News,8 months ago,Mobile World Congress 2022. Mobile World Congress 2024 live 01. Samsung at MWC 02. Google at MWC 03....,https://www.yahoo.com/lifestyle/mwc-2024-live-blog-news-190016789.html?fr=sycsrp_catchall
2024-04-01,GOOGL,"Alphabet (GOOGL) Q1 Earnings Beat, Revenues Increase Y/Y",Zacks ·  via Yahoo Finance,6 months ago,Alphabet’s GOOGL first-quarter 2024 earnings of $1.89 per share beat the Zacks Consensus Estimate by...,https://finance.yahoo.com/news/alphabet-googl-q1-earnings-beat-151100420.html?fr=sycsrp_catchall
